plan_id,profile_id,content,steering_condition,repetition,model_key,model,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
syn_0005__weekend__persona_liwc__r0,syn_0005,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,8.0,15.0,58.745926,57.87159,50.74592590332031,42.87158966064453,134,1.4398530069897169
syn_0005__technology__persona_only__r0,syn_0005,technology,persona_only,0,deepseek-chat,deepseek-chat,8.0,15.0,42.33741,48.671867,34.33740997314453,33.67186737060547,140,1.328730674986603
syn_0005__technology__liwc_only__r0,syn_0005,technology,liwc_only,0,deepseek-chat,deepseek-chat,8.0,15.0,29.554436,63.96427,21.55443572998047,48.964271545410156,121,2.58527339958205
syn_0005__technology__persona_liwc__r0,syn_0005,technology,persona_liwc,0,deepseek-chat,deepseek-chat,8.0,15.0,28.44624,64.39468,20.446239471435547,49.394676208496094,158,1.32557487900318
syn_0006__weekend__persona_only__r0,syn_0006,weekend,persona_only,0,deepseek-chat,deepseek-chat,41.0,43.0,48.732758,59.3243,7.732757568359375,16.324298858642578,190,1.1518419368642443
syn_0006__weekend__liwc_only__r0,syn_0006,weekend,liwc_only,0,deepseek-chat,deepseek-chat,41.0,43.0,33.550613,44.818733,-7.4493865966796875,1.8187332153320312,160,2.5222647595066423
syn_0006__weekend__persona_liwc__r0,syn_0006,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,41.0,43.0,48.137077,48.920273,7.137077331542969,5.9202728271484375,182,3.045087935317225
syn_0006__technology__persona_only__r0,syn_0006,technology,persona_only,0,deepseek-chat,deepseek-chat,41.0,43.0,39.491264,52.254036,-1.5087356567382812,9.254035949707031,187,1.7646761633198371
syn_0006__technology__liwc_only__r0,syn_0006,technology,liwc_only,0,deepseek-chat,deepseek-chat,41.0,43.0,38.707798,59.520786,-2.2922019958496094,16.52078628540039,167,5.7245270293134505
syn_0006__technology__persona_liwc__r0,syn_0006,technology,persona_liwc,0,deepseek-chat,deepseek-chat,41.0,43.0,37.398476,53.967476,-3.6015243530273438,10.967475891113281,192,8.076551505246986
syn_0007__weekend__persona_only__r0,syn_0007,weekend,persona_only,0,deepseek-chat,deepseek-chat,1.0,61.0,32.73941,53.143406,31.739410400390625,-7.856594085693359,180,1.7509211198886432
syn_0007__weekend__liwc_only__r0,syn_0007,weekend,liwc_only,0,deepseek-chat,deepseek-chat,1.0,61.0,44.179146,50.950745,43.17914581298828,-10.04925537109375,169,4.081931165380494
syn_0007__weekend__persona_liwc__r0,syn_0007,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,1.0,61.0,47.837753,52.823593,46.83775329589844,-8.176406860351562,177,4.12233940279075
syn_0007__technology__persona_only__r0,syn_0007,technology,persona_only,0,deepseek-chat,deepseek-chat,1.0,61.0,34.23961,58.85169,33.23960876464844,-2.1483116149902344,193,1.6039514150424776
syn_0007__technology__liwc_only__r0,syn_0007,technology,liwc_only,0,deepseek-chat,deepseek-chat,1.0,61.0,49.06946,61.335545,48.069461822509766,0.3355445861816406,161,5.157921322038387
syn_0007__technology__persona_liwc__r0,syn_0007,technology,persona_liwc,0,deepseek-chat,deepseek-chat,1.0,61.0,33.054398,73.43384,32.05439758300781,12.433837890625,175,4.146740467504633
syn_0008__weekend__persona_only__r0,syn_0008,weekend,persona_only,0,deepseek-chat,deepseek-chat,39.0,75.0,50.40395,57.673973,11.403949737548828,-17.326026916503906,183,2.0536014384202548
syn_0008__weekend__liwc_only__r0,syn_0008,weekend,liwc_only,0,deepseek-chat,deepseek-chat,39.0,75.0,42.78102,48.85638,3.7810211181640625,-26.143619537353516,207,1.4404837473009522
syn_0008__weekend__persona_liwc__r0,syn_0008,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,39.0,75.0,41.402096,48.55761,2.4020957946777344,-26.44239044189453,168,4.563335628352357
syn_0008__technology__persona_only__r0,syn_0008,technology,persona_only,0,deepseek-chat,deepseek-chat,39.0,75.0,42.163414,55.645844,3.1634140014648438,-19.354156494140625,177,1.2261186240799289
syn_0008__technology__liwc_only__r0,syn_0008,technology,liwc_only,0,deepseek-chat,deepseek-chat,39.0,75.0,33.632473,60.158268,-5.367527008056641,-14.841732025146484,175,4.944458508458841
syn_0008__technology__persona_liwc__r0,syn_0008,technology,persona_liwc,0,deepseek-chat,deepseek-chat,39.0,75.0,38.415215,55.89669,-0.5847854614257812,-19.103309631347656,174,3.994906372403636
syn_0009__weekend__persona_only__r0,syn_0009,weekend,persona_only,0,deepseek-chat,deepseek-chat,26.0,26.0,52.795776,59.807533,26.7957763671875,33.807533264160156,159,1.3767658034434576
syn_0009__weekend__liwc_only__r0,syn_0009,weekend,liwc_only,0,deepseek-chat,deepseek-chat,26.0,26.0,38.736088,52.703354,12.736087799072266,26.703353881835938,165,3.1887072758890707
syn_0009__weekend__persona_liwc__r0,syn_0009,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,26.0,26.0,28.606176,64.15657,2.6061763763427734,38.15657043457031,189,1.661461015768279
syn_0009__technology__persona_only__r0,syn_0009,technology,persona_only,0,deepseek-chat,deepseek-chat,26.0,26.0,33.492847,56.120533,7.492847442626953,30.120532989501953,191,1.494202820172117
syn_0009__technology__liwc_only__r0,syn_0009,technology,liwc_only,0,deepseek-chat,deepseek-chat,26.0,26.0,30.946812,61.205208,4.946811676025391,35.20520782470703,184,4.558577841100414
syn_0009__technology__persona_liwc__r0,syn_0009,technology,persona_liwc,0,deepseek-chat,deepseek-chat,26.0,26.0,40.65074,64.60835,14.650741577148438,38.60835266113281,191,1.7464128723952088
syn_0010__weekend__persona_only__r0,syn_0010,weekend,persona_only,0,deepseek-chat,deepseek-chat,28.0,9.0,42.041428,58.52979,14.041427612304688,49.529788970947266,146,1.891435193726244
syn_0010__weekend__liwc_only__r0,syn_0010,weekend,liwc_only,0,deepseek-chat,deepseek-chat,28.0,9.0,41.834084,52.837704,13.834083557128906,43.837703704833984,226,2.655988999674657
syn_0010__weekend__persona_liwc__r0,syn_0010,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,28.0,9.0,61.10817,46.6386,33.10816955566406,37.63859939575195,200,2.22114289363594
syn_0010__technology__persona_only__r0,syn_0010,technology,persona_only,0,deepseek-chat,deepseek-chat,28.0,9.0,36.2005,52.647934,8.20050048828125,43.64793395996094,183,2.318000171821821
syn_0010__technology__liwc_only__r0,syn_0010,technology,liwc_only,0,deepseek-chat,deepseek-chat,28.0,9.0,45.66218,49.836857,17.662181854248047,40.836856842041016,177,2.7859629052587644
syn_0010__technology__persona_liwc__r0,syn_0010,technology,persona_liwc,0,deepseek-chat,deepseek-chat,28.0,9.0,37.285023,56.392212,9.285022735595703,47.3922119140625,184,4.010698152126551
syn_0011__weekend__persona_only__r0,syn_0011,weekend,persona_only,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,49.389458,51.561512,-35.5404267129411,-38.4384880065918,217,0.7036062727278352
syn_0011__weekend__liwc_only__r0,syn_0011,weekend,liwc_only,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,55.406216,51.55542,-29.523668747853208,-38.444580078125,189,0.884835365542677
syn_0011__weekend__persona_liwc__r0,syn_0011,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,47.935295,58.48978,-36.99458931059735,-31.51021957397461,202,1.7718427602452025
syn_0011__technology__persona_only__r0,syn_0011,technology,persona_only,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,40.879013,62.680885,-44.05087135405438,-27.319114685058594,173,2.350557298060229
syn_0011__technology__liwc_only__r0,syn_0011,technology,liwc_only,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,50.09549,58.556156,-34.83439491362469,-31.443843841552734,182,1.8376873939353344
syn_0011__technology__persona_liwc__r0,syn_0011,technology,persona_liwc,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,49.04872,67.30241,-35.881163102101254,-22.697593688964844,209,1.5001372340098456
syn_0000__weekend__lex_fewshot__r0,syn_0000,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,50.0,80.0,39.362606,54.542587,-10.637393951416016,-25.457412719726562,147,2.8198464196750286
syn_0000__technology__lex_fewshot__r0,syn_0000,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,50.0,80.0,22.010471,62.261326,-27.98952865600586,-17.73867416381836,181,1.8481701149902547
syn_0001__weekend__lex_fewshot__r0,syn_0001,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,17.0,40.0,40.5468,55.476738,23.546798706054688,15.476737976074219,208,2.929839800064555
syn_0001__technology__lex_fewshot__r0,syn_0001,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,17.0,40.0,17.947384,64.33545,0.9473838806152344,24.33544921875,199,2.827574344235177
syn_0002__weekend__lex_fewshot__r0,syn_0002,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,17.0,94.0,48.703743,55.62349,31.70374298095703,-38.37651062011719,196,5.274532566140466
syn_0002__technology__lex_fewshot__r0,syn_0002,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,17.0,94.0,30.832737,70.41421,13.83273696899414,-23.585792541503906,204,3.2321432983247096
syn_0003__weekend__lex_fewshot__r0,syn_0003,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,24.0,98.0,41.665077,54.021626,17.665077209472656,-43.97837448120117,212,5.352225500822077
syn_0003__technology__lex_fewshot__r0,syn_0003,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,24.0,98.0,23.711748,60.841934,-0.2882518768310547,-37.15806579589844,175,6.5945508536747415
syn_0004__weekend__lex_fewshot__r0,syn_0004,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,60.0,98.0,41.374447,45.955864,-18.625553131103516,-52.04413604736328,174,3.561001619622981
syn_0004__technology__lex_fewshot__r0,syn_0004,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,60.0,98.0,46.818623,67.94382,-13.181377410888672,-30.056182861328125,185,3.650452575003363
syn_0005__weekend__lex_fewshot__r0,syn_0005,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,8.0,15.0,48.333023,52.08071,40.33302307128906,37.080711364746094,175,1.6504989035050213
syn_0005__technology__lex_fewshot__r0,syn_0005,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,8.0,15.0,37.583515,54.284424,29.583515167236328,39.284423828125,176,1.7698331508009475
syn_0006__weekend__lex_fewshot__r0,syn_0006,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,41.0,43.0,36.1276,48.445892,-4.872398376464844,5.445892333984375,181,2.700055446499871
syn_0006__technology__lex_fewshot__r0,syn_0006,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,41.0,43.0,30.222015,59.402626,-10.777984619140625,16.402626037597656,178,4.364454930860603
syn_0007__weekend__lex_fewshot__r0,syn_0007,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,1.0,61.0,50.41071,44.87756,49.410709381103516,-16.122440338134766,197,2.4421705197824153
syn_0007__technology__lex_fewshot__r0,syn_0007,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,1.0,61.0,42.391678,58.001904,41.39167785644531,-2.998096466064453,176,4.140772998773259
syn_0008__weekend__lex_fewshot__r0,syn_0008,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,39.0,75.0,54.513115,58.080315,15.513114929199219,-16.91968536376953,176,2.5500837052586407
syn_0008__technology__lex_fewshot__r0,syn_0008,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,39.0,75.0,28.246935,64.48102,-10.75306510925293,-10.51898193359375,216,4.158327583483089
syn_0009__weekend__lex_fewshot__r0,syn_0009,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,26.0,26.0,38.48088,50.996376,12.480880737304688,24.996376037597656,178,2.2479300020460977
syn_0009__technology__lex_fewshot__r0,syn_0009,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,26.0,26.0,43.610935,65.542946,17.61093521118164,39.542945861816406,191,6.258451786225017
syn_0010__weekend__lex_fewshot__r0,syn_0010,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,28.0,9.0,55.58492,52.383644,27.584918975830078,43.383644104003906,186,0.7015641545681879
syn_0010__technology__lex_fewshot__r0,syn_0010,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,28.0,9.0,48.526875,61.90703,20.526874542236328,52.90702819824219,175,1.910384662323824
syn_0011__weekend__lex_fewshot__r0,syn_0011,weekend,lex_fewshot,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,41.663452,59.644188,-43.26643226714032,-30.355812072753906,165,0.6919109795291876
syn_0011__technology__lex_fewshot__r0,syn_0011,technology,lex_fewshot,0,deepseek-chat,deepseek-chat,84.92988441557782,90.0,39.560127,68.956566,-45.369757157277036,-21.043434143066406,174,0.9166222726994172
