profile_id,steering_condition,model_key,n_essays,n_words_concat,cell,target_O,target_N,target_emo_sad,target_focusfuture,target_mental,target_certitude,target_fatigue,target_Affect,target_adverb,target_swear,obs_emo_sad,obs_focusfuture,obs_mental,obs_certitude,obs_fatigue,obs_Affect,obs_adverb,obs_swear,raw_mae,standardized_mae,scored
syn_0001,persona_liwc,qwen3-32b,6,1187,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.08,0.92,0.0,0.75,0.0,4.09,8.35,0.0,0.3355899553614722,0.5629153302352676,True
syn_0001,persona_only,deepseek-v3,6,1175,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.0,1.27,0.0,1.27,0.17,5.15,6.08,0.0,0.42683995536147235,1.0130674067939782,True
syn_0001,persona_only,gpt-4o-mini,6,1206,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.08,0.99,0.0,0.74,0.0,6.61,5.78,0.0,0.6368399553614723,0.7816523265464514,True
syn_0001,persona_only,qwen3-32b,6,1331,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.0,0.82,0.0,1.19,0.15,5.05,7.58,0.0,0.40558995536147224,1.0218575594247505,True
syn_0002,lex_fewshot,deepseek-v3,6,1132,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.7,3.05,0.0,2.35,0.09,7.85,9.42,2.44,0.9299368554844618,2.634465798650808,True
syn_0002,lex_fewshot,gpt-4o-mini,6,1204,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.58,2.57,0.0,1.49,0.25,5.15,8.55,0.08,0.8236868554844619,2.0425037574427565,True
syn_0002,lex_fewshot,qwen3-32b,6,1605,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.62,4.08,0.0,0.68,0.31,7.48,6.06,2.47,0.9708558091649787,3.1467771307525387,True
syn_0002,liwc_only,deepseek-v3,6,1224,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.57,3.34,0.33,2.36,0.16,6.75,10.33,1.3,1.0274368554844617,2.297664264161556,True
syn_0002,liwc_only,gpt-4o-mini,6,1205,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.5,2.65,0.0,1.16,0.0,7.21,7.95,0.0,0.4736868554844619,1.2231753901110856,True
syn_0002,liwc_only,qwen3-32b,6,1216,nan,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57,0.41,2.68,0.08,1.14,0.24,6.42,7.96,2.19,0.719936855484462,2.0658937099871015,True
