plan_id,profile_id,cell,content,steering_condition,repetition,model_key,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
qwen3-32b__syn_0000__childhood_memory__persona_only__r0,syn_0000,,childhood_memory,persona_only,0,qwen3-32b,50.0,80.0,65.26392,62.794746,15.263923645019531,-17.20525360107422,224,1.6770557902276766
qwen3-32b__syn_0000__meaningful_relationship__persona_liwc__r0,syn_0000,,meaningful_relationship,persona_liwc,0,qwen3-32b,50.0,80.0,49.695366,58.171036,-0.30463409423828125,-21.828964233398438,231,1.472558657936271
qwen3-32b__syn_0000__meaningful_relationship__lex_fewshot__r0,syn_0000,,meaningful_relationship,lex_fewshot,0,qwen3-32b,50.0,80.0,51.978996,32.21573,1.9789962768554688,-47.784271240234375,579,2.6513044780995902
qwen3-32b__syn_0000__childhood_memory__persona_liwc__r0,syn_0000,,childhood_memory,persona_liwc,0,qwen3-32b,50.0,80.0,64.92633,59.31111,14.92633056640625,-20.688888549804688,174,2.132090851312341
qwen3-32b__syn_0000__turning_point__persona_liwc__r0,syn_0000,,turning_point,persona_liwc,0,qwen3-32b,50.0,80.0,62.610336,65.72012,12.610336303710938,-14.279876708984375,240,0.937348757965931
qwen3-32b__syn_0000__turning_point__liwc_only__r0,syn_0000,,turning_point,liwc_only,0,qwen3-32b,50.0,80.0,65.507095,61.281822,15.507095336914062,-18.718177795410156,111,1.6506644800313146
gpt-4o-mini__syn_0000__memorable_journey__persona_only__r0,syn_0000,,memorable_journey,persona_only,0,gpt-4o-mini,50.0,80.0,57.642303,45.578037,7.642303466796875,-34.42196273803711,197,1.1007244542101766
gpt-4o-mini__syn_0000__memorable_journey__liwc_only__r0,syn_0000,,memorable_journey,liwc_only,0,gpt-4o-mini,50.0,80.0,68.67023,57.693405,18.67022705078125,-22.306594848632812,191,2.414229701266724
qwen3-32b__syn_0000__daily_life_change__persona_liwc__r0,syn_0000,,daily_life_change,persona_liwc,0,qwen3-32b,50.0,80.0,47.025703,53.86556,-2.9742965698242188,-26.134441375732422,265,1.8796660205656843
gpt-4o-mini__syn_0000__memorable_journey__persona_liwc__r0,syn_0000,,memorable_journey,persona_liwc,0,gpt-4o-mini,50.0,80.0,50.84689,57.09625,0.8468894958496094,-22.903751373291016,213,1.0006129392237415
gpt-4o-mini__syn_0000__memorable_journey__lex_fewshot__r0,syn_0000,,memorable_journey,lex_fewshot,0,gpt-4o-mini,50.0,80.0,74.247025,53.948765,24.247024536132812,-26.05123519897461,192,1.197463581326738
gpt-4o-mini__syn_0000__difficult_decision__persona_only__r0,syn_0000,,difficult_decision,persona_only,0,gpt-4o-mini,50.0,80.0,54.41462,48.76391,4.414619445800781,-31.23609161376953,187,1.603050412838247
gpt-4o-mini__syn_0000__difficult_decision__persona_liwc__r0,syn_0000,,difficult_decision,persona_liwc,0,gpt-4o-mini,50.0,80.0,44.256977,48.51137,-5.743022918701172,-31.488628387451172,192,1.7383388090070122
gpt-4o-mini__syn_0000__difficult_decision__lex_fewshot__r0,syn_0000,,difficult_decision,lex_fewshot,0,gpt-4o-mini,50.0,80.0,49.72134,64.885315,-0.2786598205566406,-15.11468505859375,192,2.3303168407672494
qwen3-32b__syn_0000__turning_point__lex_fewshot__r0,syn_0000,,turning_point,lex_fewshot,0,qwen3-32b,50.0,80.0,61.517914,48.8258,11.517913818359375,-31.174198150634766,231,2.3523959315331187
gpt-4o-mini__syn_0000__difficult_decision__liwc_only__r0,syn_0000,,difficult_decision,liwc_only,0,gpt-4o-mini,50.0,80.0,44.757698,54.05412,-5.242301940917969,-25.945880889892578,196,1.9194204518783684
gpt-4o-mini__syn_0000__daily_life_change__liwc_only__r0,syn_0000,,daily_life_change,liwc_only,0,gpt-4o-mini,50.0,80.0,54.27828,64.06782,4.278278350830078,-15.932182312011719,182,1.6818622421430698
gpt-4o-mini__syn_0000__daily_life_change__persona_only__r0,syn_0000,,daily_life_change,persona_only,0,gpt-4o-mini,50.0,80.0,59.79264,57.91914,9.792640686035156,-22.080860137939453,201,1.055330973186014
gpt-4o-mini__syn_0000__daily_life_change__lex_fewshot__r0,syn_0000,,daily_life_change,lex_fewshot,0,gpt-4o-mini,50.0,80.0,42.992767,49.485195,-7.007232666015625,-30.51480484008789,189,1.0763955699979333
gpt-4o-mini__syn_0000__daily_life_change__persona_liwc__r0,syn_0000,,daily_life_change,persona_liwc,0,gpt-4o-mini,50.0,80.0,56.27958,55.28158,6.279579162597656,-24.71841812133789,200,1.186713669107514
gpt-4o-mini__syn_0000__meaningful_relationship__persona_only__r0,syn_0000,,meaningful_relationship,persona_only,0,gpt-4o-mini,50.0,80.0,57.82856,53.92626,7.828559875488281,-26.07373809814453,201,0.9880626853533844
gpt-4o-mini__syn_0000__meaningful_relationship__persona_liwc__r0,syn_0000,,meaningful_relationship,persona_liwc,0,gpt-4o-mini,50.0,80.0,45.925278,74.325836,-4.0747222900390625,-5.674163818359375,188,1.4545028640458724
gpt-4o-mini__syn_0000__meaningful_relationship__liwc_only__r0,syn_0000,,meaningful_relationship,liwc_only,0,gpt-4o-mini,50.0,80.0,54.463333,59.586693,4.4633331298828125,-20.413307189941406,191,1.6360645908741935
gpt-4o-mini__syn_0000__meaningful_relationship__lex_fewshot__r0,syn_0000,,meaningful_relationship,lex_fewshot,0,gpt-4o-mini,50.0,80.0,43.511574,59.61808,-6.488426208496094,-20.381919860839844,191,2.1956286947537764
gpt-4o-mini__syn_0000__childhood_memory__liwc_only__r0,syn_0000,,childhood_memory,liwc_only,0,gpt-4o-mini,50.0,80.0,70.70049,54.39591,20.70049285888672,-25.60409164428711,202,2.263471843828628
gpt-4o-mini__syn_0000__childhood_memory__persona_only__r0,syn_0000,,childhood_memory,persona_only,0,gpt-4o-mini,50.0,80.0,64.97227,54.485653,14.972267150878906,-25.514347076416016,208,1.1905080003371378
gpt-4o-mini__syn_0000__childhood_memory__lex_fewshot__r0,syn_0000,,childhood_memory,lex_fewshot,0,gpt-4o-mini,50.0,80.0,64.284676,67.30148,14.284675598144531,-12.698516845703125,194,3.1683627215575068
gpt-4o-mini__syn_0000__childhood_memory__persona_liwc__r0,syn_0000,,childhood_memory,persona_liwc,0,gpt-4o-mini,50.0,80.0,55.04704,67.853195,5.047039031982422,-12.146804809570312,194,1.1430668376617033
gpt-4o-mini__syn_0000__turning_point__liwc_only__r0,syn_0000,,turning_point,liwc_only,0,gpt-4o-mini,50.0,80.0,52.37123,59.458214,2.3712310791015625,-20.541786193847656,183,1.289699535196721
gpt-4o-mini__syn_0000__turning_point__persona_only__r0,syn_0000,,turning_point,persona_only,0,gpt-4o-mini,50.0,80.0,60.185196,66.60823,10.185195922851562,-13.391769409179688,195,1.4631041590212333
gpt-4o-mini__syn_0000__turning_point__persona_liwc__r0,syn_0000,,turning_point,persona_liwc,0,gpt-4o-mini,50.0,80.0,68.76644,69.901825,18.766441345214844,-10.098175048828125,199,1.16800536709866
gpt-4o-mini__syn_0000__turning_point__lex_fewshot__r0,syn_0000,,turning_point,lex_fewshot,0,gpt-4o-mini,50.0,80.0,61.281597,55.430515,11.281597137451172,-24.56948471069336,198,1.3584850402022202
deepseek-v3__syn_0001__memorable_journey__persona_only__r0,syn_0001,,memorable_journey,persona_only,0,deepseek-v3,17.0,40.0,70.88577,60.534996,53.885772705078125,20.534996032714844,213,1.941251394463661
