steering_condition,trait,n,rho,pearson_r,calibration_slope,mae,mean_pred,mean_target
lex_fewshot,O,1440,0.01,0.0033,0.0014,27.3229,53.5115,41.4484
lex_fewshot,N,1440,-0.0174,-0.0135,-0.0046,27.5395,55.5931,57.3833
liwc_only,O,1440,0.0345,0.0311,0.0133,27.2517,54.1255,41.4484
liwc_only,N,1440,-0.0091,-0.0152,-0.0047,27.4851,56.4243,57.3833
persona_liwc,O,1440,0.1026,0.0988,0.0413,26.9454,55.4097,41.4484
persona_liwc,N,1440,0.0372,0.0442,0.0138,27.0398,57.9096,57.3833
persona_only,O,1440,0.0559,0.0644,0.0265,28.4607,57.9375,41.4484
persona_only,N,1440,0.0394,0.0428,0.0126,26.7892,56.999,57.3833
