model_key,steering_condition,metric,point,boot_mean,ci95_lo,ci95_hi
gpt-4o-mini,liwc_only,liwc_MAE_LIWC,1.8037,1.801,1.6527,1.9511
gpt-4o-mini,liwc_only,liwc_rho_LIWC,0.5803,0.5786,0.5419,0.614
gpt-4o-mini,liwc_only,liwc_beta_LIWC,1.1416,1.181,1.0254,1.4488
gpt-4o-mini,liwc_only,emb_rho_O,0.214,0.2132,0.0446,0.3889
gpt-4o-mini,liwc_only,emb_rho_N,0.1471,0.147,-0.0473,0.3408
gpt-4o-mini,liwc_only,bfi_rho_O,-0.1251,-0.1229,-0.2887,0.0447
gpt-4o-mini,liwc_only,bfi_rho_N,0.0787,0.0797,-0.1129,0.2648
gpt-4o-mini,liwc_only,bfi_standardized_mae_O,1.3175,1.3168,1.1794,1.4483
gpt-4o-mini,liwc_only,bfi_standardized_mae_N,0.8934,0.8926,0.7994,0.98
gpt-4o-mini,liwc_only,bfi_MAE_BFI,1.1055,1.1047,1.0219,1.1828
gpt-4o-mini,liwc_only,bfi_slope_O,-0.022,-0.0219,-0.0489,0.0048
gpt-4o-mini,liwc_only,bfi_slope_N,0.0555,0.0556,-0.0396,0.1497
gpt-4o-mini,persona_liwc,liwc_MAE_LIWC,1.2521,1.2515,1.1576,1.3473
gpt-4o-mini,persona_liwc,liwc_rho_LIWC,0.4667,0.4656,0.4179,0.5111
gpt-4o-mini,persona_liwc,liwc_beta_LIWC,0.7242,0.7426,0.6534,0.8638
gpt-4o-mini,persona_liwc,emb_rho_O,0.3236,0.3207,0.1545,0.4807
gpt-4o-mini,persona_liwc,emb_rho_N,0.192,0.1906,0.0242,0.3594
gpt-4o-mini,persona_liwc,bfi_rho_O,0.7683,0.7631,0.676,0.8353
gpt-4o-mini,persona_liwc,bfi_rho_N,0.6636,0.6579,0.5391,0.7562
gpt-4o-mini,persona_liwc,bfi_standardized_mae_O,1.3333,1.3325,1.2195,1.4414
gpt-4o-mini,persona_liwc,bfi_standardized_mae_N,0.5305,0.5304,0.4752,0.5859
gpt-4o-mini,persona_liwc,bfi_MAE_BFI,0.9319,0.9314,0.8719,0.9921
gpt-4o-mini,persona_liwc,bfi_slope_O,0.2603,0.2601,0.217,0.3019
gpt-4o-mini,persona_liwc,bfi_slope_N,0.502,0.5007,0.43,0.5626
gpt-4o-mini,lex_fewshot,liwc_MAE_LIWC,1.7181,1.7169,1.5865,1.8437
gpt-4o-mini,lex_fewshot,liwc_rho_LIWC,0.5897,0.589,0.5512,0.6287
gpt-4o-mini,lex_fewshot,liwc_beta_LIWC,1.0884,1.1215,0.9631,1.3529
gpt-4o-mini,lex_fewshot,emb_rho_O,-0.0088,-0.0088,-0.1721,0.1596
gpt-4o-mini,lex_fewshot,emb_rho_N,0.1172,0.1167,-0.0562,0.2874
gpt-4o-mini,lex_fewshot,bfi_rho_O,-0.0336,-0.0327,-0.1985,0.1387
gpt-4o-mini,lex_fewshot,bfi_rho_N,0.1504,0.1493,-0.0318,0.3219
gpt-4o-mini,lex_fewshot,bfi_standardized_mae_O,1.3122,1.3115,1.1717,1.4435
gpt-4o-mini,lex_fewshot,bfi_standardized_mae_N,0.8803,0.8802,0.7913,0.9673
gpt-4o-mini,lex_fewshot,bfi_MAE_BFI,1.0962,1.0959,1.0127,1.1728
