model_key,steering_condition,liwc_MAE_LIWC,liwc_rho_LIWC,liwc_beta_LIWC,liwc_n_profiles,emb_rho_O,emb_rho_N,emb_n_profiles,bfi_rho_O,bfi_rho_N,bfi_standardized_mae_O,bfi_standardized_mae_N,bfi_MAE_BFI,bfi_slope_O,bfi_slope_N,bfi_n_profiles,boot_id
qwen3-32b,lex_fewshot,2.2888860070653823,0.5000909442311657,2.1426571906707057,56,0.008617153526090573,-0.17297502307097837,56,-0.11720810773872622,0.23964977967366044,0.946468940640064,0.8352522861752972,0.8908606134076806,-0.012084620856424144,0.1242281414793625,56,847
qwen3-32b,persona_only,1.151979889355461,0.06738903424453721,0.09914486901605148,49,0.004032464311991031,0.22503003086684,49,0.8495532394791869,0.8827434942369176,0.8867434086745496,0.365449327735135,0.6260963682048423,0.4222556488992713,0.6249898188711487,49,1182
deepseek-v3,lex_fewshot,3.0519488248807263,0.6604563925335433,2.5950894906911617,50,-0.007544270349590905,-0.14370828314712333,50,-0.13099187597196746,0.2318597045286245,0.8052404427306953,0.7492169983433227,0.777228720537009,-0.030293226808956412,0.16156489668733784,50,278
qwen3-32b,liwc_only,1.9755500300617148,0.5325719048801831,1.9377880214464667,51,0.010503680233264933,-0.06944004921942142,51,0.0013821544389496763,0.06546837673977544,0.9500935569331217,0.9155102469832012,0.9328019019581615,0.009136808537169042,0.04086051154790491,51,635
qwen3-32b,lex_fewshot,2.2293783898603583,0.51580844571425,1.7644982999261085,54,0.038363272902922074,-0.13910126553717167,54,-0.06897677830354779,0.11742496685780458,0.9224414472068933,0.9201849938388258,0.9213132205228596,-0.01677877639378528,0.03754443716494709,54,1285
qwen3-32b,persona_liwc,2.008204448556559,0.43808940524724915,1.1822237790060202,53,0.25268907601206736,0.20736111941355626,53,0.7744523297700645,0.643456536871895,0.8128021973107281,0.545730940614487,0.6792665689626076,0.3233107231242263,0.424696486966908,53,914
qwen3-32b,persona_liwc,1.79656429122144,0.4805430726012951,1.2358044039355112,47,0.3046474071237614,0.1519104732912935,47,0.8221317255261728,0.6389781196290107,0.9440160111764855,0.6128083965915924,0.7784122038840389,0.37513546153538385,0.39031673621104346,47,881
qwen3-32b,liwc_only,1.883695235581618,0.4928403590031157,1.3305085210912144,51,-0.07597058375611447,-0.051370252106451596,51,-0.21152237489259587,0.021596414268826778,0.9659852641213503,0.9148109948542626,0.9403981294878065,-0.028840783232555876,0.026349281597613124,51,1261
gpt-4o-mini,persona_liwc,1.3035909133539567,0.47232370175566635,0.6885537629573273,54,0.37721833534465915,0.08228273129549411,54,0.7703409654805078,0.6336125983284117,1.3816283744296973,0.5289208334816289,0.9552746039556631,0.26945319628593484,0.49603866810602354,54,1849
qwen3-32b,persona_liwc,1.891189704259971,0.42672496862261367,1.280370385281791,50,0.3692832781746976,0.17800093547366813,50,0.8131712471749674,0.6599476679655025,0.8232594966478449,0.5645755702854323,0.6939175334666385,0.3943629858116458,0.43739343200598413,50,1653
qwen3-32b,liwc_only,2.0233818806351294,0.5055576424844964,1.336823157608276,50,0.08349748741630957,-0.37153436882290186,50,-0.06696966440129516,-0.014491709795221385,0.9793903168681194,0.8809764016538033,0.9301833592609614,-0.00499761276310274,0.0013863267551364885,50,1003
deepseek-v3,persona_only,1.3166092145475912,-0.06270406242594834,-0.10333894741974409,59,0.30111556748148427,-0.21326865078657706,59,0.8472360777772441,0.87921780162727,0.667916969110863,0.36887366385621856,0.5183953164835408,0.5242036825489655,0.8458720477081777,59,761
gpt-4o-mini,persona_only,1.1276221928060812,-0.013235287585415522,0.003683481786515997,47,0.24608090336776844,0.1475632860944115,47,0.8540382559931982,0.8627604181113502,1.3856824120085318,0.4701782621584234,0.9279303370834776,0.3049220396602579,0.5025465521341226,47,1025
gpt-4o-mini,persona_only,1.115594709694047,0.08086018429360842,0.04779716138919054,47,0.2469980002783195,-0.02198056690686717,47,0.8623615799958739,0.873231285993053,1.2676928000596643,0.4168936826759795,0.8422932413678219,0.28850754852533345,0.5298289358958611,47,660
deepseek-v3,persona_only,1.3129598533113034,-0.04904207197258084,-0.07658967767156613,48,0.3393982906373471,-0.06776348428871529,48,0.8011464322270136,0.8971127498071715,0.6066445847079913,0.37011149845865826,0.48837804158332476,0.5360429637404065,0.891391621010807,48,1288
qwen3-32b,liwc_only,1.8862734674726196,0.5107147549595337,1.2967826909405407,51,0.023270557581255652,-0.19299201089183202,51,-0.0011107841033191398,-0.09428280508227821,0.8808745273755832,1.0306995631203564,0.9557870452479698,0.01041236797877014,-0.03752883743836478,51,1652
deepseek-v3,persona_liwc,2.479180122036679,0.6285783839983085,1.9849394055049405,48,0.2439316066509565,0.03470752046577069,48,0.7854097211392279,0.7960287798914735,0.519952014000059,0.40707014007516545,0.4635110770376122,0.46879120651618417,0.7297410145724296,48,182
