model_key,contrast,metric,point_delta,boot_mean_delta,ci95_lo,ci95_hi
gpt-4o-mini,persona_liwc - persona_only,emb_rho_N,0.2268,0.2247,-0.0019,0.4435
gpt-4o-mini,persona_liwc - persona_only,bfi_rho_O,-0.0582,-0.0596,-0.1197,-0.0069
gpt-4o-mini,persona_liwc - persona_only,bfi_rho_N,-0.1747,-0.1752,-0.2728,-0.0886
gpt-4o-mini,persona_liwc - persona_only,bfi_standardized_mae_O,0.0124,0.0127,-0.0143,0.0403
gpt-4o-mini,persona_liwc - persona_only,bfi_standardized_mae_N,0.0677,0.0676,0.0175,0.1147
gpt-4o-mini,persona_liwc - persona_only,bfi_MAE_BFI,0.04,0.0401,0.0089,0.0709
gpt-4o-mini,persona_liwc - persona_only,bfi_slope_O,-0.0239,-0.0243,-0.0541,0.0071
gpt-4o-mini,persona_liwc - persona_only,bfi_slope_N,-0.0019,-0.0022,-0.0485,0.0427
gpt-4o-mini,persona_liwc - liwc_only,liwc_MAE_LIWC,-0.5515,-0.5495,-0.6415,-0.4536
gpt-4o-mini,persona_liwc - liwc_only,liwc_rho_LIWC,-0.1137,-0.113,-0.1644,-0.064
gpt-4o-mini,persona_liwc - liwc_only,liwc_beta_LIWC,-0.4175,-0.4384,-0.6309,-0.3179
gpt-4o-mini,persona_liwc - liwc_only,emb_rho_O,0.1096,0.1076,-0.1416,0.3306
gpt-4o-mini,persona_liwc - liwc_only,emb_rho_N,0.0448,0.0436,-0.1877,0.2804
gpt-4o-mini,persona_liwc - liwc_only,bfi_rho_O,0.8935,0.886,0.7047,1.0567
gpt-4o-mini,persona_liwc - liwc_only,bfi_rho_N,0.5848,0.5783,0.4405,0.7188
gpt-4o-mini,persona_liwc - liwc_only,bfi_standardized_mae_O,0.0158,0.0157,-0.0382,0.0696
gpt-4o-mini,persona_liwc - liwc_only,bfi_standardized_mae_N,-0.3629,-0.3622,-0.4324,-0.2915
gpt-4o-mini,persona_liwc - liwc_only,bfi_MAE_BFI,-0.1736,-0.1733,-0.2169,-0.1297
gpt-4o-mini,persona_liwc - liwc_only,bfi_slope_O,0.2824,0.282,0.2372,0.3265
gpt-4o-mini,persona_liwc - liwc_only,bfi_slope_N,0.4465,0.4451,0.3785,0.5155
qwen3-32b,liwc_only - persona_only,liwc_MAE_LIWC,0.797,0.797,0.6119,0.9731
qwen3-32b,liwc_only - persona_only,liwc_rho_LIWC,0.4303,0.4294,0.3544,0.5097
qwen3-32b,liwc_only - persona_only,liwc_beta_LIWC,1.3323,1.3703,1.1246,1.7687
qwen3-32b,liwc_only - persona_only,emb_rho_O,-0.0006,-0.0008,-0.2385,0.2356
qwen3-32b,liwc_only - persona_only,emb_rho_N,-0.4425,-0.4365,-0.665,-0.1937
qwen3-32b,liwc_only - persona_only,bfi_rho_O,-0.943,-0.9388,-1.1208,-0.7467
qwen3-32b,liwc_only - persona_only,bfi_rho_N,-0.7723,-0.7679,-0.94,-0.5921
qwen3-32b,liwc_only - persona_only,bfi_standardized_mae_O,0.1121,0.1131,0.0388,0.1861
qwen3-32b,liwc_only - persona_only,bfi_standardized_mae_N,0.494,0.4948,0.4128,0.5742
qwen3-32b,liwc_only - persona_only,bfi_MAE_BFI,0.303,0.304,0.2508,0.36
qwen3-32b,liwc_only - persona_only,bfi_slope_O,-0.3965,-0.3971,-0.4525,-0.3426
qwen3-32b,liwc_only - persona_only,bfi_slope_N,-0.5308,-0.5306,-0.6206,-0.4441
