profile_id,steering_condition,n_essays,n_words_concat,target_O,target_N,target_emo_sad,target_focusfuture,target_mental,target_certitude,target_fatigue,target_Affect,target_adverb,target_swear,obs_emo_sad,obs_focusfuture,obs_mental,obs_certitude,obs_fatigue,obs_Affect,obs_adverb,obs_swear,raw_mae,standardized_mae,scored
syn_0005,persona_only,2,325,8.0,15.0,0.07,1.2,0.06,0.4206212989299029,0.04,6.32,5.78,0.2,0.0,2.13,0.0,1.52,0.0,5.78,5.17,0.0,0.44367233763376224,1.0582292391792532,True
syn_0006,lex_fewshot,2,359,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.28,1.1,0.0,1.38,1.1,5.51,11.02,0.0,0.9775,3.3184130188306513,True
syn_0006,liwc_only,2,327,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.3,1.21,0.3,1.81,1.21,5.14,10.27,0.0,0.94625,3.7664131006612456,True
syn_0006,persona_liwc,2,374,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,1.06,1.33,0.0,1.33,1.6,6.91,10.37,0.0,1.2537500000000001,5.366684089418497,True
syn_0006,persona_only,2,377,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24,0.26,1.31,0.0,1.31,0.0,7.57,8.09,0.0,0.76375,1.172662328886032,True
syn_0007,lex_fewshot,2,373,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.0,2.41,0.0,1.87,0.8,4.81,7.75,0.27,0.9493565185322074,3.010379526849864,True
syn_0007,liwc_only,2,330,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.9,2.7,0.0,1.5,0.9,4.8,12.91,0.3,1.6793565185322075,4.500595593325294,True
syn_0007,persona_liwc,2,352,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.28,1.69,0.0,2.54,0.85,5.08,12.99,0.0,1.6118565185322073,3.8543418491911163,True
syn_0007,persona_only,2,373,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34,0.0,0.79,0.0,1.85,0.0,4.5,7.67,0.0,0.8768565185322073,1.6051082512048547,True
syn_0008,lex_fewshot,2,392,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.0,1.52,0.0,1.27,1.01,7.85,5.06,2.28,0.7649012699288018,3.2524506523574703,True
syn_0008,liwc_only,2,382,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.26,1.05,0.0,2.37,0.53,9.21,6.05,2.37,0.8736512699288019,2.7249413258669213,True
syn_0008,persona_liwc,2,342,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.58,1.45,0.0,5.22,0.58,9.28,8.99,1.74,1.515921349013887,4.28211233734298,True
syn_0008,persona_only,2,360,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.55,0.0,0.0,1.65,0.0,5.79,6.61,0.0,0.45134873007119825,1.4884391194055109,True
syn_0009,lex_fewshot,2,369,26.0,26.0,0.18,1.74,0.04,0.83,0.0,5.07,7.638584569797328,0.29,1.34,4.03,0.0,3.76,0.27,8.33,10.22,0.0,1.602676928775334,4.313275465702736,True
syn_0009,liwc_only,2,349,26.0,26.0,0.18,1.74,0.04,0.83,0.0,5.07,7.638584569797328,0.29,1.14,2.56,0.0,3.69,0.28,6.25,11.93,0.0,1.340176928775334,3.6339254907521523,True
syn_0009,persona_liwc,2,380,26.0,26.0,0.18,1.74,0.04,0.83,0.0,5.07,7.638584569797328,0.29,0.26,2.85,0.0,2.59,0.0,4.4,10.1,0.26,0.768926928775334,1.4096331517885057,True
syn_0009,persona_only,2,350,26.0,26.0,0.18,1.74,0.04,0.83,0.0,5.07,7.638584569797328,0.29,0.0,0.85,0.0,2.54,0.0,3.39,7.06,0.0,0.6710730712246662,1.4245536905756997,True
syn_0010,lex_fewshot,2,361,28.0,9.0,0.14,1.4,0.0,0.81,0.04,7.31067214118548,6.19,1.014751532866203,0.0,1.65,0.0,1.38,0.0,7.44,6.89,2.48,0.4118220407435397,1.152894198641091,True
syn_0010,liwc_only,2,403,28.0,9.0,0.14,1.4,0.0,0.81,0.04,7.31067214118548,6.19,1.014751532866203,0.0,2.23,0.0,0.99,0.74,7.92,8.17,1.98,0.6755720407435397,2.5912081661968047,True
syn_0010,persona_liwc,2,384,28.0,9.0,0.14,1.4,0.0,0.81,0.04,7.31067214118548,6.19,1.014751532866203,0.0,1.55,0.0,2.06,0.77,7.73,7.73,1.8,0.6268220407435398,2.6903192643066483,True
syn_0010,persona_only,2,329,28.0,9.0,0.14,1.4,0.0,0.81,0.04,7.31067214118548,6.19,1.014751532866203,0.0,1.51,0.3,1.81,0.0,4.82,9.94,0.0,1.1056779592564603,1.8465260365626825,True
syn_0011,lex_fewshot,2,339,84.92988441557782,90.0,0.04,1.3,0.04,0.8,0.02,5.447040685662143,5.66,0.21,0.0,0.87,0.0,0.87,0.0,4.37,7.58,0.29,0.4596300857077679,0.6111486312301925,True
syn_0011,liwc_only,2,371,84.92988441557782,90.0,0.04,1.3,0.04,0.8,0.02,5.447040685662143,5.66,0.21,0.0,2.41,0.0,1.07,0.0,5.61,9.09,0.0,0.6603699142922321,1.0124828092231897,True
syn_0011,persona_liwc,2,411,84.92988441557782,90.0,0.04,1.3,0.04,0.8,0.02,5.447040685662143,5.66,0.21,0.0,1.7,0.0,2.19,0.0,3.41,9.25,0.24,0.9433800857077679,1.3206046844050285,True
syn_0011,persona_only,2,390,84.92988441557782,90.0,0.04,1.3,0.04,0.8,0.02,5.447040685662143,5.66,0.21,0.26,0.26,0.0,1.79,0.0,5.9,5.38,0.26,0.3866199142922322,1.065055134114753,True
